,loss_KNIFE,error_KNIFE,loss_Schraudolph,error_Schraudolph,loss_DoE,error_DoE,loss_true_entropy,loss_oracle,error_oracle
253,13.440661927149627,6.554705957963165,13.705649992988679,6.819694023802217,353.20181524772306,346.3158592785366,6.885955969186462,6.899827152243297,0.013871183056835434
254,13.555431071225584,6.669475102039122,13.807671747960802,6.92171577877434,327.9048347592072,321.0188787900207,6.885955969186462,7.098359150174717,0.2124031809882556
255,13.084289279579531,6.198333310393069,13.322262636566641,6.43630666738018,348.84235309431045,341.956397125124,6.885955969186462,6.7603009566404495,-0.1256550125460123
256,13.407010991688747,6.521055022502285,13.632542565980447,6.7465865967939855,329.8331502939009,322.9471943247145,6.885955969186462,6.894455305080248,0.008499335893786153
257,13.695036499010872,6.80908052982441,13.979914961870097,7.0939589926836355,324.42500129976514,317.5390453305787,6.885955969186462,6.799613806920716,-0.08634216226574587
258,13.099133131154199,6.213177161967737,13.378546237042155,6.492590267855693,357.20701489344907,350.3210589242626,6.885955969186462,6.7554872223853,-0.13046874680116183
259,12.987299919719296,6.101343950532835,13.27614540795107,6.390189438764608,347.05062417346636,340.1646682042799,6.885955969186462,6.554621965887315,-0.33133400329914675
260,13.675664424837883,6.789708455651422,13.88771754948093,7.001761580294469,335.9281770605399,329.04222109135344,6.885955969186462,7.034435109696205,0.14847914050974342
261,13.408542536557835,6.522586567371373,13.649611462916184,6.763655493729722,343.6514077252725,336.76545175608607,6.885955969186462,6.933080601636547,0.04712463245008536
262,13.537391555828648,6.651435586642187,13.777351298982705,6.891395329796243,310.49011204617966,303.6041560769932,6.885955969186462,7.147992439664689,0.2620364704782272
263,13.315865757008016,6.429909787821554,13.612406808559982,6.72645083937352,340.93905102307355,334.0530950538871,6.885955969186462,7.043129381846748,0.15717341266028662
264,13.135446785957946,6.249490816771484,13.43109767209192,6.5451417029054575,346.6734785289905,339.787522559804,6.885955969186462,6.682988783945338,-0.2029671852411239
265,13.616299826120876,6.7303438569344145,13.919691675220093,7.033735706033632,313.05266743609803,306.1667114669116,6.885955969186462,7.040399920880368,0.15444395169390646
266,13.485184167731212,6.5992281985447505,13.730233849906186,6.844277880719725,338.5332048362588,331.64724886707234,6.885955969186462,7.072576365834884,0.18662039664842212
267,13.128781269650752,6.24282530046429,13.37458417874452,6.488628209558058,345.4686788566218,338.58272288743535,6.885955969186462,6.7012002360114735,-0.18475573317498828
268,12.890924186275761,6.004968217089299,13.129295239211526,6.243339270025064,334.11137968718714,327.2254237180007,6.885955969186462,6.8922663188860085,0.006310349699546691
269,13.21542776703063,6.3294717978441675,13.456997827206674,6.571041858020212,337.7941523212794,330.90819635209294,6.885955969186462,6.955760016127327,0.06980404694086495
270,13.213754237783128,6.327798268596666,13.49910224854681,6.613146279360349,326.35203285269114,319.4660768835047,6.885955969186462,6.780106707163297,-0.10584926202316502
271,13.270500333836328,6.384544364649866,13.547709511225666,6.661753542039204,350.1222237327261,343.2362677635397,6.885955969186462,7.0669821059272575,0.1810261367407957
272,13.788163544738744,6.902207575552282,14.079340699036024,7.193384729849562,322.79683055145716,315.9108745822707,6.885955969186462,7.353452517448769,0.46749654826230724
273,13.268125820259224,6.382169851072762,13.488307602985692,6.6023516337992305,319.82833160948616,312.9423756402997,6.885955969186462,7.047983849288195,0.16202788010173297
274,13.291391680864209,6.405435711677747,13.538589497537508,6.652633528351046,312.8121177171619,305.92616174797547,6.885955969186462,6.64438576022188,-0.24157020896458192
275,13.124807642096727,6.238851672910265,13.383968772335816,6.498012803149354,324.56083552229614,317.6748795531097,6.885955969186462,6.8749943307767785,-0.010961638409683339
276,12.737225796668497,5.851269827482035,12.981822484487473,6.095866515301012,353.36797394827084,346.4820179790844,6.885955969186462,6.716365549018797,-0.16959042016766457
277,13.273979502861415,6.388023533674954,13.5326376038812,6.646681634694739,332.2445867978299,325.35863082864347,6.885955969186462,7.333430161649383,0.44747419246292086
278,13.377713657778298,6.491757688591836,13.638837807484295,6.752881838297833,308.5925053658946,301.70654939670817,6.885955969186462,7.241233356645033,0.35527738745857107
279,13.184663663897297,6.298707694710835,13.431971123338247,6.546015154151785,332.0283150808345,325.14235911164803,6.885955969186462,6.69490301697074,-0.19105295221572138
280,13.419603568435516,6.533647599249054,13.707684313042964,6.821728343856503,301.6573407978734,294.77138482868696,6.885955969186462,7.131734776121483,0.24577880693502152
281,13.451217220720576,6.565261251534114,13.758279109032825,6.872323139846364,316.42882990499163,309.5428739358052,6.885955969186462,7.039799519284479,0.1538435500980171
282,13.207489809666221,6.321533840479759,13.465785921994161,6.5798299528076996,322.2140923505667,315.32813638138026,6.885955969186462,7.192357795358306,0.30640182617184397
283,13.493643965435096,6.607687996248634,13.758871431316697,6.872915462130235,302.4376332593128,295.55167729012635,6.885955969186462,6.765284231520886,-0.12067173766557548
284,13.014514677688325,6.128558708501863,13.273231872772632,6.38727590358617,353.52125035145417,346.6352943822677,6.885955969186462,6.673214221551076,-0.2127417476353859
285,13.22980638013249,6.343850410946029,13.49460346863496,6.608647499448498,330.99669795127744,324.110741982091,6.885955969186462,6.967510999937041,0.0815550307505788
286,13.111368129918894,6.225412160732432,13.438090090757862,6.552134121571401,337.8810276491251,330.99507167993863,6.885955969186462,6.823668389133632,-0.062287580052830194
287,12.782359070901535,5.896403101715073,13.015854705641766,6.129898736455305,329.9941578195655,323.10820185037903,6.885955969186462,6.830071052662383,-0.055884916524078676
288,12.89864427866647,6.0126883094800085,13.13926761757655,6.253311648390088,331.2195889913372,324.33363302215076,6.885955969186462,6.747555721191212,-0.13840024799524997
289,12.743241458276398,5.857285489089936,13.034342554157343,6.148386584970881,326.9470893929767,320.06113342379024,6.885955969186462,6.808366714973001,-0.07758925421346063
290,13.361336662163598,6.4753806929771365,13.647063557614594,6.761107588428132,353.5158368468415,346.62988087765507,6.885955969186462,6.880365837763602,-0.005590131422859912
291,12.969622851952,6.083666882765538,13.24792581521931,6.3619698460328475,323.60463583008186,316.7186798608954,6.885955969186462,6.806525559047678,-0.07943041013878371
292,13.17771360016488,6.2917576309784184,13.516897460238637,6.630941491052175,333.5583489360786,326.6723929668921,6.885955969186462,6.695435209536494,-0.19052075964996806
293,13.091519800374122,6.205563831187661,13.385478035625471,6.49952206643901,354.0851406727626,347.1991847035761,6.885955969186462,6.796127857367033,-0.08982811181942907
